gene,log2FoldChange,padj,product_description,go_term,pathway_name
guaA,-2.02853016825458,0.00725966942429902,GMP synthase,GMP synthase (glutamine-hydrolyzing) activity,Metabolic pathways
leuC,-3.00893064997581,6.07039643691933E-09,3-isopropylmalate dehydratase large subunit,3-isopropylmalate dehydratase activity,2-Oxocarboxilic acid metabolism
lptA,-1.99178484240795,0.00011456030178165,"lysophosphatidic acid acyltransferase, LptA","transferase activity, transferring acyl groups",Biosynthesis of secondary metabolites
nudC,-6.04571466112224,2.95925494284078E-06,NudC,NAD+ diphosphatase activity,Metabolic pathways
phnE,-2.31880705585806,1.76637137740595E-08,phosphonate transport protein PhnE,transmembrane transport,ABC transporters
pilG,-4.09111273642608,3.88042127014178E-08,twitching motility protein PilG,phosphorelay signal transduction system,Biofilm formation - Pseudomonas aeruginosa
pilH,-3.27118388916461,7.63461293893045E-07,twitching motility protein PilH,phosphorelay signal transduction system,Biofilm formation - Pseudomonas aeruginosa
purM,-1.69803691478941,0.0172827289686575,phosphoribosylaminoimidazole synthetase,phosphoribosylformylglycinamidine cyclo-ligase activity,Biosynthesis of antibiotics
recO,-4.21068067527361,8.73525818933469E-18,DNA repair protein RecO,DNA repair,Homologous recombination
ribA,-3.36822348610036,8.993903100834E-10,GTP cyclohydrolase II,GTP cyclohydrolase II activity,Biosynthesis of secondary metabolites
rplX,-1.33577873372304,0.044357377893809,50S ribosomal protein L24,structural constituent of ribosome,Ribosome
rpoZ,-1.75861634005667,0.0164390306243613,RNA polymerase omega subunit,DNA binding,Metabolic pathways
rpsL,-1.32695063811143,0.00548346120749829,30S ribosomal protein S12,structural constituent of ribosome,Ribosome
rpsM,-2.63240557768335,0.0195343604268832,30S ribosomal protein S13,RNA binding,Ribosome
rpsP,-4.59845029669033,5.23671390389455E-30,30S ribosomal protein S16,structural constituent of ribosome,Ribosome
surE,-2.6569595244486,1.18200846420715E-05,survival protein SurE,hydrolase activity,Biosynthesis of secondary metabolites
thiL,-4.18616922890361,5.58572001157836E-07,thiamine monophosphate kinase,thiamine biosynthetic process,Metabolic pathways
tolQ,-2.54584320841827,0.000430018629708873,TolQ protein,integral component of membrane,Microbial metabolism in diverse environments
uvrA,-2.66619256851638,4.78535093080186E-07,excinuclease ABC subunit A,DNA binding,Nucleotide excision repair
alc,3.15280924597492,3.58242467081777E-08,allantoicase,allantoin catabolic process,Metabolic pathways
arcA,2.98118860437604,8.60160878588581E-07,arginine deiminase,arginine catabolic process,Arginine biosynthesis
arcC,2.44412922976171,4.60656423367761E-05,carbamate kinase,arginine metabolic process,Arginine biosynthesis
argF,3.89588693832857,6.66369295674792E-10,"ornithine carbamoyltransferase, anabolic",amino acid binding,Arginine biosynthesis
aroK,1.60287186952915,0.000147104523033403,shikimate kinase,shikimate kinase activity,Biosynthesis of amino acids
atpD,1.0238069664779,0.0495174111600461,ATP synthase beta chain,ATP metabolic process,Metabolic pathways
catA,1.88363475640318,0.025659403796802,"catechol 1,2-dioxygenase",catalytic activity,Benzoate degradation
cobA,1.97627638455195,0.00013417583363066,uroporphyrin-III C-methyltransferase,methyltransferase activity,Biosynthesis of secondary metabolites
cobU,2.35476061166571,0.00507661442063562,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity,Metabolic pathways
cysQ,1.74269135925852,0.00647166223705672,"3,5-bisphosphate nucleotidase CysQ",phosphatidylinositol phosphorylation,Biosynthesis of antibiotics
cysT,1.95593897565939,0.000175334256326901,sulfate transport protein CysT,sulfate transport,ABC transporters
dapE,1.86208040264164,0.0125695097978435,succinyl-diaminopimelate desuccinylase,hydrolase activity,Biosynthesis of amino acids
dctP,2.02634367782078,0.0370040479965286,DctP,transmembrane transport,Two-component system
fabA,2.06212129396035,1.64363531611149E-05,beta-hydroxydecanoyl-ACP dehydrase,cytoplasm,Fatty acid biosynthesis
fdnG,1.00180636005571,0.0361509493517964,"formate dehydrogenase-O, major subunit",anaerobic respiration,Carbon metabolism
flgH,2.21960565794918,0.014590765523114,flagellar L-ring protein precursor FlgH,motor activity,Flagellar assembly
folB,10.3119460734862,6.35766948571618E-11,dihydroneopterin aldolase,dihydroneopterin aldolase activity,Folate biosynthesis
gmk,1.09111841908474,0.031632214062912,guanylate kinase,guanylate kinase activity,Metabolic pathways
ilvE,2.72545775975584,8.6858990230481E-07,branched-chain amino acid transferase,catalytic activity,2-Oxocarboxilic acid metabolism
lepB,1.28892226383365,0.00207518950779375,signal peptidase I,serine-type peptidase activity,Protein export
metE,1.20961319269524,0.00544282230221161,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,zinc ion binding,Biosynthesis of amino acids
nirD,1.56879616056952,0.00481130697928742,assimilatory nitrite reductase small subunit,oxidoreductase activity,Microbial metabolism in diverse environments
plsX,2.04111544848159,0.00191399701192598,fatty acid biosynthesis protein PlsX,catalytic activity,Biosynthesis of secondary metabolites
ptsN,1.22537031586916,0.0101385560767296,nitrogen regulatory IIA protein,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,Phosphotransferase system (PTS)
ptsP,2.63899168413566,6.35637360241952E-07,phosphoenolpyruvate-protein phosphotransferase PtsP,"transferase activity, transferring phosphorus-containing groups",Phosphotransferase system (PTS)
purE,2.75246865242295,0.00042879031221886,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",'de novo' IMP biosynthetic process,Biosynthesis of antibiotics
recA,2.32324635130275,0.00893754273527387,RecA protein,DNA binding,Homologous recombination
recB,4.71329304008916,6.4671398294121E-11,exodeoxyribonuclease V beta chain,ATP binding,Homologous recombination
rpiA,1.12041332749525,0.0369345236750394,ribose 5-phosphate isomerase,ribose-5-phosphate isomerase activity,Biosynthesis of amino acids
rplJ,2.19241124103547,1.6639763027873E-06,50S ribosomal protein L10,ribosome biogenesis,Ribosome
rplL,4.09602104348009,3.06188077179475E-18,50S ribosomal protein L7 / L12,structural constituent of ribosome,Ribosome
rplO,3.60965033396164,5.16162259691301E-10,50S ribosomal protein L15,structural constituent of ribosome,Ribosome
rpoB,2.39109899188583,6.35637360241952E-07,DNA-directed RNA polymerase beta chain,DNA-directed 5'-3' RNA polymerase activity,Metabolic pathways
rpsF,1.56640576278769,0.0196116614598535,30S ribosomal protein S6,structural constituent of ribosome,Ribosome
secA,1.54612598835672,0.00883850104878318,secretion protein SecA,ATP binding,Bacterial secretion system
secF,3.32811523478789,0.0289180737054321,secretion protein SecF,intracellular protein transport,Bacterial secretion system
secY,1.17310537658935,0.00970558752503637,secretion protein SecY,membrane,Bacterial secretion system
selD,1.8885046854207,1.88508188476011E-05,selenophosphate synthetase,ATP binding,Metabolic pathways
tatB,1.52439491752966,0.0095793302040765,translocation protein TatB,membrane,Bacterial secretion system
uvrD,1.39940198141763,0.0125695097978435,UvrD helicase,DNA helicase activity,Mismatch repair
znuA,1.72121073736573,0.0078610363427032,ZnuA,metal ion transport,ABC transporters
zur,2.59112551476438,0.000394948768250971,"zinc uptake regulator, Zur",DNA-binding transcription factor activity,Quorum sensing
